sequence_index,return,first_chamber_filling,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000261,97.30247,77.64659,41.916466,53,28
1970-01-01 00:00:00.000000262,97.84582,78.57543,41.390816,53,29
1970-01-01 00:00:00.000000263,89.69807,79.911255,41.846058,53,30
1970-01-01 00:00:00.000000264,96.99858,79.483986,40.70891,53,31
1970-01-01 00:00:00.000000265,86.96363,79.67496,39.520634,53,32
1970-01-01 00:00:00.000000266,77.46703,79.318085,39.064423,53,33
1970-01-01 00:00:00.000000267,75.83352,78.50308,37.83756,53,34
1970-01-01 00:00:00.000000268,72.867165,76.24131,36.85861,53,35
1970-01-01 00:00:00.000000269,77.47818,74.833145,36.29244,53,36
1970-01-01 00:00:00.000000270,83.2921,76.85861,36.597214,53,37
1970-01-01 00:00:00.000000271,87.14553,79.26794,36.81038,53,38
1970-01-01 00:00:00.000000272,87.77624,80.62307,38.410492,53,39
1970-01-01 00:00:00.000000273,89.69869,78.767365,40.254623,53,40
1970-01-01 00:00:00.000000274,88.44603,77.26158,42.031246,53,41
1970-01-01 00:00:00.000000097,35.80509,52.239582,65.58448,54,10
1970-01-01 00:00:00.000000098,35.160164,51.86535,66.19405,54,11
1970-01-01 00:00:00.000000099,33.65307,52.80768,66.97338,54,12
1970-01-01 00:00:00.000000100,32.620384,53.41628,67.63601,54,13
1970-01-01 00:00:00.000000101,23.804434,52.37462,67.91378,54,14
1970-01-01 00:00:00.000000102,15.74981,51.8856,67.80479,54,15
1970-01-01 00:00:00.000000277,52.54494,70.08873,18.017956,60,10
1970-01-01 00:00:00.000000278,60.54426,65.801506,19.958523,60,11
1970-01-01 00:00:00.000000279,55.599293,66.24517,24.2583,60,12
1970-01-01 00:00:00.000000280,54.82464,66.20755,27.457567,60,13
1970-01-01 00:00:00.000000281,52.14202,67.709305,29.562117,60,14
1970-01-01 00:00:00.000000282,55.182823,69.452156,27.484564,60,15
1970-01-01 00:00:00.000000283,60.41549,70.613434,25.85745,60,16
1970-01-01 00:00:00.000000284,69.03725,71.13908,24.783947,60,17
1970-01-01 00:00:00.000000285,74.59686,71.68306,24.767544,60,18
1970-01-01 00:00:00.000000286,72.72687,72.99479,24.891006,60,19
1970-01-01 00:00:00.000000287,78.09888,73.221436,24.325813,60,20
1970-01-01 00:00:00.000000288,70.62757,72.74691,24.30941,60,21
1970-01-01 00:00:00.000000289,69.88118,72.10166,23.612074,60,22
1970-01-01 00:00:00.000000290,72.33577,72.37365,23.125006,60,23
1970-01-01 00:00:00.000000291,68.02415,71.51715,21.914547,60,24
1970-01-01 00:00:00.000000292,73.69236,71.68692,20.711803,60,25
1970-01-01 00:00:00.000000293,70.79562,72.111305,20.632727,60,26
1970-01-01 00:00:00.000000294,63.454414,70.923996,19.99807,60,27
1970-01-01 00:00:00.000000295,64.04259,69.8042,18.73939,60,28
1970-01-01 00:00:00.000000296,65.66342,70.204475,18.290897,60,29
1970-01-01 00:00:00.000000297,72.10787,70.364586,18.307287,60,30
1970-01-01 00:00:00.000000298,61.866055,70.34143,19.21393,60,31
1970-01-01 00:00:00.000000299,60.769646,69.16763,20.01736,60,32
1970-01-01 00:00:00.000000300,51.6354,67.62538,24.041273,60,33
1970-01-01 00:00:00.000000301,55.909107,67.93499,27.40934,60,34
1970-01-01 00:00:00.000000302,53.30628,67.39873,29.237076,60,35
1970-01-01 00:00:00.000000303,47.644512,67.87327,29.44541,60,36
1970-01-01 00:00:00.000000304,53.059593,66.58371,25.55169,60,37
1970-01-01 00:00:00.000000305,58.91242,67.40644,24.32581,60,38
1970-01-01 00:00:00.000000306,63.37828,68.72685,23.54746,60,39
1970-01-01 00:00:00.000000307,58.8206,71.72453,23.398916,60,40
1970-01-01 00:00:00.000000308,55.001392,68.94387,24.092396,60,41
1970-01-01 00:00:00.000000309,44.921043,65.92882,21.90876,60,42
1970-01-01 00:00:00.000000310,44.118126,64.166664,19.813847,60,43
1970-01-01 00:00:00.000000311,55.35528,66.24035,19.58912,60,44
1970-01-01 00:00:00.000000312,51.688,67.5733,18.777018,60,45
1970-01-01 00:00:00.000000313,45.58254,65.364586,17.41416,60,46
1970-01-01 00:00:00.000000314,51.2608,65.0752,17.1875,60,47
1970-01-01 00:00:00.000000102,61.679775,94.6036,82.20196,61,10
1970-01-01 00:00:00.000000103,65.11801,94.67205,82.27912,61,11
1970-01-01 00:00:00.000000104,64.07672,94.972015,82.08139,61,12
1970-01-01 00:00:00.000000105,63.38356,95.05304,81.983,61,13
1970-01-01 00:00:00.000000106,62.918697,95.09641,82.096825,61,14
1970-01-01 00:00:00.000000107,63.120514,95.11376,82.3804,61,15
1970-01-01 00:00:00.000000108,61.44844,95.26463,82.49644,61,16
1970-01-01 00:00:00.000000125,126.04277,88.72591,47.878086,62,10
1970-01-01 00:00:00.000000126,115.953735,88.72395,45.97897,62,11
1970-01-01 00:00:00.000000127,116.598236,88.23398,45.310566,62,12
1970-01-01 00:00:00.000000128,117.4361,87.5733,45.086807,62,13
1970-01-01 00:00:00.000000129,115.803665,86.9811,44.515816,62,14
1970-01-01 00:00:00.000000130,116.65884,86.659904,44.43479,62,15
1970-01-01 00:00:00.000000131,114.5716,86.892365,44.625763,62,16
1970-01-01 00:00:00.000000132,113.92426,87.12674,45.11092,62,17
1970-01-01 00:00:00.000000133,112.56464,87.16049,45.822723,62,18
1970-01-01 00:00:00.000000134,112.6796,87.0303,46.71971,62,19
1970-01-01 00:00:00.000000135,111.67381,87.1365,47.734005,62,20
1970-01-01 00:00:00.000000292,75.10401,83.01408,52.513496,63,10
1970-01-01 00:00:00.000000293,71.61005,82.13928,52.28105,63,11
1970-01-01 00:00:00.000000294,72.95049,82.05151,52.81251,63,12
1970-01-01 00:00:00.000000295,70.894844,81.61554,53.970867,63,13
1970-01-01 00:00:00.000000296,69.23909,81.82678,54.787815,63,14
1970-01-01 00:00:00.000000297,65.780815,79.00655,55.391586,63,15
1970-01-01 00:00:00.000000298,64.96728,76.55479,55.944256,63,16
1970-01-01 00:00:00.000000299,66.19997,76.34065,56.35513,63,17
1970-01-01 00:00:00.000000300,67.04211,76.89236,55.830444,63,18
1970-01-01 00:00:00.000000301,62.972095,78.91203,55.745564,63,19
1970-01-01 00:00:00.000000302,64.00953,79.0625,54.7338,63,20
