sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000392,95.04435,87,17
1970-01-01 00:00:00.000000393,95.22377,87,18
1970-01-01 00:00:00.000000394,94.67302,87,19
1970-01-01 00:00:00.000000395,94.59686,87,20
1970-01-01 00:00:00.000000396,94.17053,87,21
1970-01-01 00:00:00.000000397,93.641,87,22
1970-01-01 00:00:00.000000398,93.36322,87,23
1970-01-01 00:00:00.000000399,92.53281,87,24
1970-01-01 00:00:00.000000400,86.43229,87,25
1970-01-01 00:00:00.000000401,90.96065,87,26
1970-01-01 00:00:00.000000402,92.41899,87,27
1970-01-01 00:00:00.000000403,92.53088,87,28
1970-01-01 00:00:00.000000404,92.159546,87,29
1970-01-01 00:00:00.000000405,92.3264,87,30
1970-01-01 00:00:00.000000406,92.68519,87,31
1970-01-01 00:00:00.000000407,92.74112,87,32
1970-01-01 00:00:00.000000408,93.01214,87,33
1970-01-01 00:00:00.000000409,93.58119,87,34
1970-01-01 00:00:00.000000410,94.14448,87,35
1970-01-01 00:00:00.000000411,94.59975,87,36
1970-01-01 00:00:00.000000412,94.713524,87,37
1970-01-01 00:00:00.000000413,93.913025,87,38
1970-01-01 00:00:00.000000414,91.99846,87,39
1970-01-01 00:00:00.000000415,91.64832,87,40
1970-01-01 00:00:00.000000416,91.929,87,41
1970-01-01 00:00:00.000000417,91.675354,87,42
1970-01-01 00:00:00.000000418,91.40625,87,43
1970-01-01 00:00:00.000000419,91.60782,87,44
1970-01-01 00:00:00.000000420,91.86728,87,45
1970-01-01 00:00:00.000000421,91.38792,87,46
1970-01-01 00:00:00.000000422,91.03974,87,47
1970-01-01 00:00:00.000000423,92.80381,87,48
1970-01-01 00:00:00.000000424,96.557686,87,49
1970-01-01 00:00:00.000000425,96.99749,87,50
1970-01-01 00:00:00.000000426,94.35379,87,51
1970-01-01 00:00:00.000000427,91.93191,87,52
1970-01-01 00:00:00.000000428,89.15414,87,53
1970-01-01 00:00:00.000000429,89.49651,87,54
1970-01-01 00:00:00.000000430,92.1383,87,55
1970-01-01 00:00:00.000000431,94.59202,87,56
1970-01-01 00:00:00.000000432,94.80998,87,57
1970-01-01 00:00:00.000000433,93.3912,87,58
1970-01-01 00:00:00.000000434,75.827545,87,59
1970-01-01 00:00:00.000000435,69.613235,87,60
1970-01-01 00:00:00.000000436,76.32619,87,61
1970-01-01 00:00:00.000000437,86.08893,87,62
1970-01-01 00:00:00.000000438,92.38426,87,63
1970-01-01 00:00:00.000000439,92.53761,87,64
1970-01-01 00:00:00.000000440,92.86649,87,65
1970-01-01 00:00:00.000000441,91.32052,87,66
1970-01-01 00:00:00.000000355,80.92978,88,10
1970-01-01 00:00:00.000000356,80.96065,88,11
1970-01-01 00:00:00.000000357,81.01273,88,12
1970-01-01 00:00:00.000000358,81.26929,88,13
1970-01-01 00:00:00.000000359,81.313644,88,14
1970-01-01 00:00:00.000000360,81.12364,88,15
1970-01-01 00:00:00.000000361,81.15836,88,16
1970-01-01 00:00:00.000000362,80.95485,88,17
1970-01-01 00:00:00.000000363,80.84588,88,18
1970-01-01 00:00:00.000000364,80.87289,88,19
1970-01-01 00:00:00.000000365,80.97416,88,20
1970-01-01 00:00:00.000000366,81.14486,88,21
1970-01-01 00:00:00.000000367,81.058044,88,22
1970-01-01 00:00:00.000000368,81.167046,88,23
1970-01-01 00:00:00.000000369,80.97126,88,24
1970-01-01 00:00:00.000000370,81.21719,88,25
1970-01-01 00:00:00.000000371,81.2172,88,26
1970-01-01 00:00:00.000000372,81.260605,88,27
1970-01-01 00:00:00.000000373,81.18247,88,28
1970-01-01 00:00:00.000000374,81.35126,88,29
1970-01-01 00:00:00.000000375,81.28085,88,30
1970-01-01 00:00:00.000000376,81.21625,88,31
1970-01-01 00:00:00.000000377,81.21431,88,32
1970-01-01 00:00:00.000000378,80.95389,88,33
1970-01-01 00:00:00.000000379,80.719536,88,34
1970-01-01 00:00:00.000000380,80.740746,88,35
1970-01-01 00:00:00.000000381,80.66551,88,36
1970-01-01 00:00:00.000000382,80.69928,88,37
1970-01-01 00:00:00.000000383,80.65972,88,38
1970-01-01 00:00:00.000000384,80.32696,88,39
