sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000145,3759.8674,91,143
1970-01-01 00:00:00.000000146,3751.098,91,143
1970-01-01 00:00:00.000000147,3754.6152,91,143
1970-01-01 00:00:00.000000148,3744.038,91,143
1970-01-01 00:00:00.000000149,3755.796,91,143
1970-01-01 00:00:00.000000145,3759.8674,91,144
1970-01-01 00:00:00.000000146,3751.098,91,144
1970-01-01 00:00:00.000000147,3754.6152,91,144
1970-01-01 00:00:00.000000148,3744.038,91,144
1970-01-01 00:00:00.000000149,3755.796,91,144
1970-01-01 00:00:00.000000150,3767.152,91,144
1970-01-01 00:00:00.000000146,3751.098,91,145
1970-01-01 00:00:00.000000147,3754.6152,91,145
1970-01-01 00:00:00.000000148,3744.038,91,145
1970-01-01 00:00:00.000000149,3755.796,91,145
1970-01-01 00:00:00.000000150,3767.152,91,145
1970-01-01 00:00:00.000000151,3760.6526,91,145
1970-01-01 00:00:00.000000147,3754.6152,91,146
1970-01-01 00:00:00.000000148,3744.038,91,146
1970-01-01 00:00:00.000000149,3755.796,91,146
1970-01-01 00:00:00.000000150,3767.152,91,146
1970-01-01 00:00:00.000000151,3760.6526,91,146
1970-01-01 00:00:00.000000152,3776.0986,91,146
1970-01-01 00:00:00.000000148,3744.038,91,147
1970-01-01 00:00:00.000000149,3755.796,91,147
1970-01-01 00:00:00.000000150,3767.152,91,147
1970-01-01 00:00:00.000000151,3760.6526,91,147
1970-01-01 00:00:00.000000152,3776.0986,91,147
1970-01-01 00:00:00.000000153,3774.0474,91,147
1970-01-01 00:00:00.000000149,3755.796,91,148
1970-01-01 00:00:00.000000150,3767.152,91,148
1970-01-01 00:00:00.000000151,3760.6526,91,148
1970-01-01 00:00:00.000000152,3776.0986,91,148
1970-01-01 00:00:00.000000153,3774.0474,91,148
1970-01-01 00:00:00.000000154,3762.6472,91,148
1970-01-01 00:00:00.000000150,3767.152,91,149
1970-01-01 00:00:00.000000151,3760.6526,91,149
1970-01-01 00:00:00.000000152,3776.0986,91,149
1970-01-01 00:00:00.000000153,3774.0474,91,149
1970-01-01 00:00:00.000000154,3762.6472,91,149
1970-01-01 00:00:00.000000155,3781.1233,91,149
1970-01-01 00:00:00.000000151,3760.6526,91,150
1970-01-01 00:00:00.000000152,3776.0986,91,150
1970-01-01 00:00:00.000000153,3774.0474,91,150
1970-01-01 00:00:00.000000154,3762.6472,91,150
1970-01-01 00:00:00.000000155,3781.1233,91,150
1970-01-01 00:00:00.000000156,3779.3967,91,150
1970-01-01 00:00:00.000000152,3776.0986,91,151
1970-01-01 00:00:00.000000153,3774.0474,91,151
1970-01-01 00:00:00.000000154,3762.6472,91,151
1970-01-01 00:00:00.000000155,3781.1233,91,151
1970-01-01 00:00:00.000000156,3779.3967,91,151
1970-01-01 00:00:00.000000157,3780.514,91,151
1970-01-01 00:00:00.000000153,3774.0474,91,152
1970-01-01 00:00:00.000000154,3762.6472,91,152
1970-01-01 00:00:00.000000155,3781.1233,91,152
1970-01-01 00:00:00.000000156,3779.3967,91,152
1970-01-01 00:00:00.000000157,3780.514,91,152
1970-01-01 00:00:00.000000158,3801.452,91,152
1970-01-01 00:00:00.000000154,3762.6472,91,153
1970-01-01 00:00:00.000000155,3781.1233,91,153
1970-01-01 00:00:00.000000156,3779.3967,91,153
1970-01-01 00:00:00.000000157,3780.514,91,153
1970-01-01 00:00:00.000000158,3801.452,91,153
1970-01-01 00:00:00.000000159,3786.77,91,153
1970-01-01 00:00:00.000000155,3781.1233,91,154
1970-01-01 00:00:00.000000156,3779.3967,91,154
1970-01-01 00:00:00.000000157,3780.514,91,154
1970-01-01 00:00:00.000000158,3801.452,91,154
1970-01-01 00:00:00.000000159,3786.77,91,154
1970-01-01 00:00:00.000000160,3773.66,91,154
1970-01-01 00:00:00.000000156,3779.3967,91,155
1970-01-01 00:00:00.000000157,3780.514,91,155
1970-01-01 00:00:00.000000158,3801.452,91,155
1970-01-01 00:00:00.000000159,3786.77,91,155
1970-01-01 00:00:00.000000160,3773.66,91,155
1970-01-01 00:00:00.000000161,3774.3826,91,155
1970-01-01 00:00:00.000000157,3780.514,91,156
1970-01-01 00:00:00.000000158,3801.452,91,156
1970-01-01 00:00:00.000000159,3786.77,91,156
1970-01-01 00:00:00.000000160,3773.66,91,156
1970-01-01 00:00:00.000000161,3774.3826,91,156
1970-01-01 00:00:00.000000162,3750.2273,91,156
1970-01-01 00:00:00.000000158,3801.452,91,157
1970-01-01 00:00:00.000000159,3786.77,91,157
1970-01-01 00:00:00.000000160,3773.66,91,157
1970-01-01 00:00:00.000000161,3774.3826,91,157
1970-01-01 00:00:00.000000162,3750.2273,91,157
1970-01-01 00:00:00.000000163,3740.002,91,157
1970-01-01 00:00:00.000000159,3786.77,91,158
1970-01-01 00:00:00.000000160,3773.66,91,158
1970-01-01 00:00:00.000000161,3774.3826,91,158
1970-01-01 00:00:00.000000162,3750.2273,91,158
1970-01-01 00:00:00.000000163,3740.002,91,158
1970-01-01 00:00:00.000000164,3736.48,91,158
1970-01-01 00:00:00.000000160,3773.66,91,159
1970-01-01 00:00:00.000000161,3774.3826,91,159
1970-01-01 00:00:00.000000162,3750.2273,91,159
1970-01-01 00:00:00.000000163,3740.002,91,159
1970-01-01 00:00:00.000000164,3736.48,91,159
1970-01-01 00:00:00.000000165,3723.524,91,159
1970-01-01 00:00:00.000000161,3774.3826,91,160
1970-01-01 00:00:00.000000162,3750.2273,91,160
1970-01-01 00:00:00.000000163,3740.002,91,160
1970-01-01 00:00:00.000000164,3736.48,91,160
1970-01-01 00:00:00.000000165,3723.524,91,160
1970-01-01 00:00:00.000000166,3728.5747,91,160
1970-01-01 00:00:00.000000162,3750.2273,91,161
1970-01-01 00:00:00.000000163,3740.002,91,161
1970-01-01 00:00:00.000000164,3736.48,91,161
1970-01-01 00:00:00.000000165,3723.524,91,161
1970-01-01 00:00:00.000000166,3728.5747,91,161
1970-01-01 00:00:00.000000167,3736.882,91,161
1970-01-01 00:00:00.000000163,3740.002,91,162
1970-01-01 00:00:00.000000164,3736.48,91,162
1970-01-01 00:00:00.000000165,3723.524,91,162
1970-01-01 00:00:00.000000166,3728.5747,91,162
1970-01-01 00:00:00.000000167,3736.882,91,162
1970-01-01 00:00:00.000000168,3741.524,91,162
1970-01-01 00:00:00.000000164,3736.48,91,163
1970-01-01 00:00:00.000000165,3723.524,91,163
1970-01-01 00:00:00.000000166,3728.5747,91,163
1970-01-01 00:00:00.000000167,3736.882,91,163
1970-01-01 00:00:00.000000168,3741.524,91,163
1970-01-01 00:00:00.000000169,3754.3494,91,163
1970-01-01 00:00:00.000000165,3723.524,91,164
1970-01-01 00:00:00.000000166,3728.5747,91,164
1970-01-01 00:00:00.000000167,3736.882,91,164
1970-01-01 00:00:00.000000168,3741.524,91,164
1970-01-01 00:00:00.000000169,3754.3494,91,164
1970-01-01 00:00:00.000000170,3760.176,91,164
1970-01-01 00:00:00.000000166,3728.5747,91,165
1970-01-01 00:00:00.000000167,3736.882,91,165
1970-01-01 00:00:00.000000168,3741.524,91,165
1970-01-01 00:00:00.000000169,3754.3494,91,165
1970-01-01 00:00:00.000000170,3760.176,91,165
1970-01-01 00:00:00.000000171,3760.492,91,165
1970-01-01 00:00:00.000000167,3736.882,91,166
1970-01-01 00:00:00.000000168,3741.524,91,166
1970-01-01 00:00:00.000000169,3754.3494,91,166
1970-01-01 00:00:00.000000170,3760.176,91,166
1970-01-01 00:00:00.000000171,3760.492,91,166
1970-01-01 00:00:00.000000172,3773.362,91,166
1970-01-01 00:00:00.000000168,3741.524,91,167
1970-01-01 00:00:00.000000169,3754.3494,91,167
1970-01-01 00:00:00.000000170,3760.176,91,167
1970-01-01 00:00:00.000000171,3760.492,91,167
1970-01-01 00:00:00.000000172,3773.362,91,167
1970-01-01 00:00:00.000000173,3777.474,91,167
1970-01-01 00:00:00.000000169,3754.3494,91,168
1970-01-01 00:00:00.000000170,3760.176,91,168
1970-01-01 00:00:00.000000171,3760.492,91,168
1970-01-01 00:00:00.000000172,3773.362,91,168
1970-01-01 00:00:00.000000173,3777.474,91,168
1970-01-01 00:00:00.000000174,3769.2634,91,168
1970-01-01 00:00:00.000000170,3760.176,91,169
1970-01-01 00:00:00.000000171,3760.492,91,169
1970-01-01 00:00:00.000000172,3773.362,91,169
1970-01-01 00:00:00.000000173,3777.474,91,169
1970-01-01 00:00:00.000000174,3769.2634,91,169
1970-01-01 00:00:00.000000175,3775.514,91,169
1970-01-01 00:00:00.000000171,3760.492,91,170
1970-01-01 00:00:00.000000172,3773.362,91,170
1970-01-01 00:00:00.000000173,3777.474,91,170
1970-01-01 00:00:00.000000174,3769.2634,91,170
1970-01-01 00:00:00.000000175,3775.514,91,170
1970-01-01 00:00:00.000000176,3763.6694,91,170
1970-01-01 00:00:00.000000172,3773.362,91,171
1970-01-01 00:00:00.000000173,3777.474,91,171
