sequence_index,return,block_idx,fcst_origin
1970-01-01 00:00:00.000000038,160.50436,190,36
1970-01-01 00:00:00.000000039,160.63353,190,36
1970-01-01 00:00:00.000000040,161.3719,190,36
1970-01-01 00:00:00.000000041,160.81464,190,36
1970-01-01 00:00:00.000000042,161.68787,190,36
1970-01-01 00:00:00.000000038,160.50436,190,37
1970-01-01 00:00:00.000000039,160.63353,190,37
1970-01-01 00:00:00.000000040,161.3719,190,37
1970-01-01 00:00:00.000000041,160.81464,190,37
1970-01-01 00:00:00.000000042,161.68787,190,37
1970-01-01 00:00:00.000000043,162.33093,190,37
1970-01-01 00:00:00.000000039,160.63353,190,38
1970-01-01 00:00:00.000000040,161.3719,190,38
1970-01-01 00:00:00.000000041,160.81464,190,38
1970-01-01 00:00:00.000000042,161.68787,190,38
1970-01-01 00:00:00.000000043,162.33093,190,38
1970-01-01 00:00:00.000000044,165.21013,190,38
1970-01-01 00:00:00.000000040,161.3719,190,39
1970-01-01 00:00:00.000000041,160.81464,190,39
1970-01-01 00:00:00.000000042,161.68787,190,39
1970-01-01 00:00:00.000000043,162.33093,190,39
1970-01-01 00:00:00.000000044,165.21013,190,39
1970-01-01 00:00:00.000000045,175.41034,190,39
1970-01-01 00:00:00.000000041,160.81464,190,40
1970-01-01 00:00:00.000000042,161.68787,190,40
1970-01-01 00:00:00.000000043,162.33093,190,40
1970-01-01 00:00:00.000000044,165.21013,190,40
1970-01-01 00:00:00.000000045,175.41034,190,40
1970-01-01 00:00:00.000000046,177.87384,190,40
1970-01-01 00:00:00.000000042,161.68787,190,41
1970-01-01 00:00:00.000000043,162.33093,190,41
1970-01-01 00:00:00.000000044,165.21013,190,41
1970-01-01 00:00:00.000000045,175.41034,190,41
1970-01-01 00:00:00.000000046,177.87384,190,41
1970-01-01 00:00:00.000000047,171.96936,190,41
1970-01-01 00:00:00.000000043,162.33093,190,42
1970-01-01 00:00:00.000000044,165.21013,190,42
1970-01-01 00:00:00.000000045,175.41034,190,42
1970-01-01 00:00:00.000000046,177.87384,190,42
1970-01-01 00:00:00.000000047,171.96936,190,42
1970-01-01 00:00:00.000000048,172.83034,190,42
1970-01-01 00:00:00.000000044,165.21013,190,43
1970-01-01 00:00:00.000000045,175.41034,190,43
1970-01-01 00:00:00.000000046,177.87384,190,43
1970-01-01 00:00:00.000000047,171.96936,190,43
1970-01-01 00:00:00.000000048,172.83034,190,43
1970-01-01 00:00:00.000000049,175.45314,190,43
1970-01-01 00:00:00.000000045,175.41034,190,44
1970-01-01 00:00:00.000000046,177.87384,190,44
1970-01-01 00:00:00.000000047,171.96936,190,44
1970-01-01 00:00:00.000000048,172.83034,190,44
1970-01-01 00:00:00.000000049,175.45314,190,44
1970-01-01 00:00:00.000000050,177.32657,190,44
1970-01-01 00:00:00.000000046,177.87384,190,45
1970-01-01 00:00:00.000000047,171.96936,190,45
1970-01-01 00:00:00.000000048,172.83034,190,45
1970-01-01 00:00:00.000000049,175.45314,190,45
1970-01-01 00:00:00.000000050,177.32657,190,45
1970-01-01 00:00:00.000000051,177.4626,190,45
1970-01-01 00:00:00.000000047,171.96936,190,46
1970-01-01 00:00:00.000000048,172.83034,190,46
1970-01-01 00:00:00.000000049,175.45314,190,46
1970-01-01 00:00:00.000000050,177.32657,190,46
1970-01-01 00:00:00.000000051,177.4626,190,46
1970-01-01 00:00:00.000000052,181.26543,190,46
1970-01-01 00:00:00.000000048,172.83034,190,47
1970-01-01 00:00:00.000000049,175.45314,190,47
1970-01-01 00:00:00.000000050,177.32657,190,47
1970-01-01 00:00:00.000000051,177.4626,190,47
1970-01-01 00:00:00.000000052,181.26543,190,47
1970-01-01 00:00:00.000000053,179.69563,190,47
1970-01-01 00:00:00.000000049,175.45314,190,48
1970-01-01 00:00:00.000000050,177.32657,190,48
1970-01-01 00:00:00.000000051,177.4626,190,48
1970-01-01 00:00:00.000000052,181.26543,190,48
1970-01-01 00:00:00.000000053,179.69563,190,48
1970-01-01 00:00:00.000000054,181.45143,190,48
1970-01-01 00:00:00.000000050,177.32657,190,49
1970-01-01 00:00:00.000000051,177.4626,190,49
