RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling
target_first_chamber_filling,120,15,NeuralForecast_TSMixer,0.30946276131634437,0.3527182463377664,0.37381448877294315,0.30946276131634437,0.3527182463377664,0.37381448877294315
target_first_chamber_filling,120,15,NeuralForecast_Nhits,0.2757526114505876,0.3246998118514113,0.3336669076879408,0.2757526114505876,0.3246998118514113,0.3336669076879408
target_first_chamber_filling,120,15,NeuralForecast_XLinear,0.27450435218770924,0.3218909359052776,0.33151469233431236,0.27450435218770924,0.3218909359052776,0.33151469233431236
target_first_chamber_filling,120,30,NaiveLastValue,0.4204301038637316,0.5000916776051685,0.5086664610551063,0.4204301038637316,0.5000916776051685,0.5086664610551063
target_first_chamber_filling,120,30,LinearRegression,0.4918650689015351,0.5775585555984724,0.5773926446549513,0.4918650689015351,0.5775585555984724,0.5773926446549513
target_first_chamber_filling,120,30,Darts_DLinear,1.5347958163006328,2.573795952839581,1.7483641586199794,1.5347958163006328,2.573795952839581,1.7483641586199794
target_first_chamber_filling,120,30,Darts_NLinear,0.6979632153680246,0.8536833591116728,0.8096847412391276,0.6979632153680246,0.8536833591116728,0.8096847412391276
target_first_chamber_filling,120,30,NeuralForecast_BiTCN,0.7578401756084283,0.8192955151849552,0.8896600247247046,0.7578401756084283,0.8192955151849552,0.8896600247247046
target_first_chamber_filling,120,30,NeuralForecast_TSMixer,0.46197654749388045,0.5380270862885251,0.5622914835340935,0.46197654749388045,0.5380270862885251,0.5622914835340935
target_first_chamber_filling,120,30,NeuralForecast_Nhits,0.42353455288632336,0.5014441980416088,0.5120360035634807,0.42353455288632336,0.5014441980416088,0.5120360035634807
target_first_chamber_filling,120,30,NeuralForecast_XLinear,0.42567771341354227,0.5011233663887957,0.5173429532517454,0.42567771341354227,0.5011233663887957,0.5173429532517454
target_first_chamber_filling,120,60,NaiveLastValue,0.6345339753924485,0.7646421297023027,0.7654301544793307,0.6345339753924485,0.7646421297023027,0.7654301544793307
target_first_chamber_filling,120,60,LinearRegression,0.7533868037496537,0.8863327142114675,0.8775042089702897,0.7533868037496537,0.8863327142114675,0.8775042089702897
target_first_chamber_filling,120,60,Darts_DLinear,1.7903456579611412,2.3148169951921282,2.0594591544379406,1.7903456579611412,2.3148169951921282,2.0594591544379406
target_first_chamber_filling,120,60,Darts_NLinear,0.8818487116187195,1.085351940386362,1.0338756017976571,0.8818487116187195,1.085351940386362,1.0338756017976571
target_first_chamber_filling,120,60,NeuralForecast_BiTCN,1.326701204239735,1.4154119178428997,1.5184384568347884,1.326701204239735,1.4154119178428997,1.5184384568347884
target_first_chamber_filling,120,60,NeuralForecast_TSMixer,0.7001844889604126,0.8202286373410258,0.84240062009432,0.7001844889604126,0.8202286373410258,0.84240062009432
target_first_chamber_filling,120,60,NeuralForecast_Nhits,0.6398382262359104,0.7685005340383487,0.7713592667625782,0.6398382262359104,0.7685005340383487,0.7713592667625782
target_first_chamber_filling,120,60,NeuralForecast_XLinear,0.6392652890697165,0.7619071531183805,0.7766692332982084,0.6392652890697165,0.7619071531183805,0.7766692332982084
