sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000269,36.29244,53,36
1970-01-01 00:00:00.000000270,36.597214,53,37
1970-01-01 00:00:00.000000271,36.81038,53,38
1970-01-01 00:00:00.000000272,38.410492,53,39
1970-01-01 00:00:00.000000273,40.254623,53,40
1970-01-01 00:00:00.000000274,42.031246,53,41
1970-01-01 00:00:00.000000097,65.58448,54,10
1970-01-01 00:00:00.000000098,66.19405,54,11
1970-01-01 00:00:00.000000099,66.97338,54,12
1970-01-01 00:00:00.000000100,67.63601,54,13
1970-01-01 00:00:00.000000101,67.91378,54,14
1970-01-01 00:00:00.000000102,67.80479,54,15
1970-01-01 00:00:00.000000277,18.017956,60,10
1970-01-01 00:00:00.000000278,19.958523,60,11
1970-01-01 00:00:00.000000279,24.2583,60,12
1970-01-01 00:00:00.000000280,27.457567,60,13
1970-01-01 00:00:00.000000281,29.562117,60,14
1970-01-01 00:00:00.000000282,27.484564,60,15
1970-01-01 00:00:00.000000283,25.85745,60,16
1970-01-01 00:00:00.000000284,24.783947,60,17
1970-01-01 00:00:00.000000285,24.767544,60,18
1970-01-01 00:00:00.000000286,24.891006,60,19
1970-01-01 00:00:00.000000287,24.325813,60,20
1970-01-01 00:00:00.000000288,24.30941,60,21
1970-01-01 00:00:00.000000289,23.612074,60,22
1970-01-01 00:00:00.000000290,23.125006,60,23
1970-01-01 00:00:00.000000291,21.914547,60,24
1970-01-01 00:00:00.000000292,20.711803,60,25
1970-01-01 00:00:00.000000293,20.632727,60,26
1970-01-01 00:00:00.000000294,19.99807,60,27
1970-01-01 00:00:00.000000295,18.73939,60,28
1970-01-01 00:00:00.000000296,18.290897,60,29
1970-01-01 00:00:00.000000297,18.307287,60,30
1970-01-01 00:00:00.000000298,19.21393,60,31
1970-01-01 00:00:00.000000299,20.01736,60,32
1970-01-01 00:00:00.000000300,24.041273,60,33
1970-01-01 00:00:00.000000301,27.40934,60,34
1970-01-01 00:00:00.000000302,29.237076,60,35
1970-01-01 00:00:00.000000303,29.44541,60,36
1970-01-01 00:00:00.000000304,25.55169,60,37
1970-01-01 00:00:00.000000305,24.32581,60,38
1970-01-01 00:00:00.000000306,23.54746,60,39
1970-01-01 00:00:00.000000307,23.398916,60,40
1970-01-01 00:00:00.000000308,24.092396,60,41
1970-01-01 00:00:00.000000309,21.90876,60,42
1970-01-01 00:00:00.000000310,19.813847,60,43
1970-01-01 00:00:00.000000311,19.58912,60,44
1970-01-01 00:00:00.000000312,18.777018,60,45
1970-01-01 00:00:00.000000313,17.41416,60,46
1970-01-01 00:00:00.000000314,17.1875,60,47
1970-01-01 00:00:00.000000102,82.20196,61,10
1970-01-01 00:00:00.000000103,82.27912,61,11
1970-01-01 00:00:00.000000104,82.08139,61,12
1970-01-01 00:00:00.000000105,81.983,61,13
1970-01-01 00:00:00.000000106,82.096825,61,14
1970-01-01 00:00:00.000000107,82.3804,61,15
1970-01-01 00:00:00.000000108,82.49644,61,16
1970-01-01 00:00:00.000000125,47.878086,62,10
1970-01-01 00:00:00.000000126,45.97897,62,11
1970-01-01 00:00:00.000000127,45.310566,62,12
1970-01-01 00:00:00.000000128,45.086807,62,13
1970-01-01 00:00:00.000000129,44.515816,62,14
1970-01-01 00:00:00.000000130,44.43479,62,15
1970-01-01 00:00:00.000000131,44.625763,62,16
1970-01-01 00:00:00.000000132,45.11092,62,17
1970-01-01 00:00:00.000000133,45.822723,62,18
1970-01-01 00:00:00.000000134,46.71971,62,19
1970-01-01 00:00:00.000000135,47.734005,62,20
1970-01-01 00:00:00.000000292,52.513496,63,10
1970-01-01 00:00:00.000000293,52.28105,63,11
1970-01-01 00:00:00.000000294,52.81251,63,12
1970-01-01 00:00:00.000000295,53.970867,63,13
1970-01-01 00:00:00.000000296,54.787815,63,14
1970-01-01 00:00:00.000000297,55.391586,63,15
1970-01-01 00:00:00.000000298,55.944256,63,16
1970-01-01 00:00:00.000000299,56.35513,63,17
1970-01-01 00:00:00.000000300,55.830444,63,18
1970-01-01 00:00:00.000000301,55.745564,63,19
1970-01-01 00:00:00.000000302,54.7338,63,20
1970-01-01 00:00:00.000000303,52.47395,63,21
1970-01-01 00:00:00.000000304,49.662434,63,22
1970-01-01 00:00:00.000000305,46.913578,63,23
1970-01-01 00:00:00.000000306,43.61979,63,24
1970-01-01 00:00:00.000000307,42.948494,63,25
1970-01-01 00:00:00.000000308,43.198315,63,26
1970-01-01 00:00:00.000000309,43.5706,63,27
1970-01-01 00:00:00.000000310,44.316162,63,28
1970-01-01 00:00:00.000000311,45.39159,63,29
1970-01-01 00:00:00.000000312,47.348568,63,30
1970-01-01 00:00:00.000000313,49.019096,63,31
1970-01-01 00:00:00.000000314,50.54302,63,32
1970-01-01 00:00:00.000000315,51.51426,63,33
1970-01-01 00:00:00.000000316,49.28145,63,34
1970-01-01 00:00:00.000000317,47.328312,63,35
1970-01-01 00:00:00.000000318,43.501156,63,36
1970-01-01 00:00:00.000000319,42.804783,63,37
1970-01-01 00:00:00.000000320,43.127895,63,38
1970-01-01 00:00:00.000000321,43.21277,63,39
1970-01-01 00:00:00.000000322,43.736504,63,40
1970-01-01 00:00:00.000000323,44.733795,63,41
1970-01-01 00:00:00.000000324,45.92688,63,42
1970-01-01 00:00:00.000000325,46.61457,63,43
1970-01-01 00:00:00.000000326,47.58005,63,44
1970-01-01 00:00:00.000000327,48.7307,63,45
1970-01-01 00:00:00.000000328,50.10513,63,46
1970-01-01 00:00:00.000000329,51.785305,63,47
1970-01-01 00:00:00.000000330,51.089893,63,48
1970-01-01 00:00:00.000000331,49.71869,63,49
1970-01-01 00:00:00.000000156,42.711235,64,10
1970-01-01 00:00:00.000000157,43.611115,64,11
1970-01-01 00:00:00.000000158,44.78202,64,12
1970-01-01 00:00:00.000000159,45.49672,64,13
1970-01-01 00:00:00.000000160,45.879623,64,14
1970-01-01 00:00:00.000000161,46.569252,64,15
1970-01-01 00:00:00.000000162,46.391777,64,16
1970-01-01 00:00:00.000000163,45.684807,64,17
1970-01-01 00:00:00.000000164,45.59703,64,18
1970-01-01 00:00:00.000000165,45.40509,64,19
1970-01-01 00:00:00.000000166,45.234386,64,20
1970-01-01 00:00:00.000000167,45.602818,64,21
1970-01-01 00:00:00.000000168,45.94232,64,22
1970-01-01 00:00:00.000000169,46.341625,64,23
1970-01-01 00:00:00.000000170,47.62346,64,24
1970-01-01 00:00:00.000000171,50.3472,64,25
1970-01-01 00:00:00.000000225,24.13485,65,10
1970-01-01 00:00:00.000000226,24.592978,65,11
1970-01-01 00:00:00.000000227,24.652773,65,12
1970-01-01 00:00:00.000000228,25.259447,65,13
1970-01-01 00:00:00.000000229,25.624033,65,14
1970-01-01 00:00:00.000000230,25.72144,65,15
1970-01-01 00:00:00.000000231,26.410103,65,16
1970-01-01 00:00:00.000000232,26.160313,65,17
1970-01-01 00:00:00.000000233,26.06482,65,18
1970-01-01 00:00:00.000000234,26.130404,65,19
1970-01-01 00:00:00.000000235,26.125576,65,20
1970-01-01 00:00:00.000000236,26.06964,65,21
1970-01-01 00:00:00.000000237,26.036837,65,22
1970-01-01 00:00:00.000000238,26.42747,65,23
1970-01-01 00:00:00.000000239,26.108213,65,24
1970-01-01 00:00:00.000000240,26.249027,65,25
1970-01-01 00:00:00.000000241,25.853577,65,26
1970-01-01 00:00:00.000000242,26.24132,65,27
1970-01-01 00:00:00.000000243,26.54803,65,28
1970-01-01 00:00:00.000000244,26.394672,65,29
1970-01-01 00:00:00.000000245,26.23939,65,30
1970-01-01 00:00:00.000000246,25.891203,65,31
1970-01-01 00:00:00.000000247,25.597023,65,32
1970-01-01 00:00:00.000000248,25.34047,65,33
1970-01-01 00:00:00.000000249,25.99055,65,34
1970-01-01 00:00:00.000000250,25.614388,65,35
1970-01-01 00:00:00.000000251,24.565964,65,36
1970-01-01 00:00:00.000000252,24.392376,65,37
1970-01-01 00:00:00.000000083,76.9049,66,10
1970-01-01 00:00:00.000000084,76.09857,66,11
1970-01-01 00:00:00.000000085,76.39103,66,12
1970-01-01 00:00:00.000000124,83.79533,67,10
1970-01-01 00:00:00.000000125,86.57021,67,11
1970-01-01 00:00:00.000000126,87.49421,67,12
1970-01-01 00:00:00.000000127,87.149864,67,13
1970-01-01 00:00:00.000000128,86.082184,67,14
1970-01-01 00:00:00.000000129,85.14853,67,15
1970-01-01 00:00:00.000000130,84.98457,67,16
1970-01-01 00:00:00.000000131,85.34529,67,17
1970-01-01 00:00:00.000000132,85.8179,67,18
1970-01-01 00:00:00.000000133,85.94715,67,19
1970-01-01 00:00:00.000000176,47.75752,69,10
1970-01-01 00:00:00.000000177,49.601658,69,11
1970-01-01 00:00:00.000000178,50.55364,69,12
1970-01-01 00:00:00.000000179,49.299767,69,13
1970-01-01 00:00:00.000000180,44.294945,69,14
1970-01-01 00:00:00.000000181,43.392162,69,15
1970-01-01 00:00:00.000000182,41.482445,69,16
1970-01-01 00:00:00.000000183,39.918983,69,17
1970-01-01 00:00:00.000000184,38.758663,69,18
1970-01-01 00:00:00.000000185,37.4238,69,19
1970-01-01 00:00:00.000000186,37.531834,69,20
1970-01-01 00:00:00.000000187,37.64853,69,21
1970-01-01 00:00:00.000000188,40.27199,69,22
1970-01-01 00:00:00.000000189,42.84915,69,23
1970-01-01 00:00:00.000000190,45.778362,69,24
1970-01-01 00:00:00.000000191,47.74112,69,25
1970-01-01 00:00:00.000000192,49.06346,69,26
1970-01-01 00:00:00.000000193,50.469715,69,27
1970-01-01 00:00:00.000000194,51.517162,69,28
1970-01-01 00:00:00.000000195,48.611115,69,29
1970-01-01 00:00:00.000000226,58.129814,70,10
1970-01-01 00:00:00.000000227,57.612843,70,11
1970-01-01 00:00:00.000000228,57.3939,70,12
1970-01-01 00:00:00.000000229,57.528927,70,13
1970-01-01 00:00:00.000000230,57.46528,70,14
1970-01-01 00:00:00.000000231,57.633102,70,15
1970-01-01 00:00:00.000000232,57.020645,70,16
1970-01-01 00:00:00.000000233,56.930935,70,17
1970-01-01 00:00:00.000000234,56.548027,70,18
1970-01-01 00:00:00.000000235,57.105507,70,19
1970-01-01 00:00:00.000000236,57.264652,70,20
1970-01-01 00:00:00.000000237,57.456585,70,21
1970-01-01 00:00:00.000000238,57.45274,70,22
1970-01-01 00:00:00.000000239,57.494213,70,23
1970-01-01 00:00:00.000000240,57.727615,70,24
1970-01-01 00:00:00.000000241,58.047832,70,25
1970-01-01 00:00:00.000000242,57.845295,70,26
1970-01-01 00:00:00.000000243,57.707375,70,27
1970-01-01 00:00:00.000000244,57.65721,70,28
1970-01-01 00:00:00.000000245,57.468174,70,29
1970-01-01 00:00:00.000000246,57.415134,70,30
1970-01-01 00:00:00.000000247,57.24922,70,31
1970-01-01 00:00:00.000000248,57.060184,70,32
1970-01-01 00:00:00.000000249,57.00231,70,33
1970-01-01 00:00:00.000000250,56.937687,70,34
1970-01-01 00:00:00.000000251,56.917435,70,35
1970-01-01 00:00:00.000000252,56.67824,70,36
1970-01-01 00:00:00.000000253,55.386765,70,37
1970-01-01 00:00:00.000000254,50.974533,70,38
1970-01-01 00:00:00.000000226,16.144857,71,10
1970-01-01 00:00:00.000000227,16.276997,71,11
1970-01-01 00:00:00.000000228,16.523916,71,12
1970-01-01 00:00:00.000000229,16.53549,71,13
1970-01-01 00:00:00.000000230,17.134453,71,14
1970-01-01 00:00:00.000000231,17.180754,71,15
1970-01-01 00:00:00.000000232,17.457554,71,16
1970-01-01 00:00:00.000000233,15.751344,71,17
1970-01-01 00:00:00.000000234,16.497877,71,18
1970-01-01 00:00:00.000000235,17.742104,71,19
1970-01-01 00:00:00.000000236,15.236297,71,20
1970-01-01 00:00:00.000000237,17.86458,71,21
1970-01-01 00:00:00.000000238,18.966047,71,22
1970-01-01 00:00:00.000000239,18.95833,71,23
1970-01-01 00:00:00.000000240,23.903353,71,24
1970-01-01 00:00:00.000000241,20.38194,71,25
1970-01-01 00:00:00.000000242,23.26872,71,26
1970-01-01 00:00:00.000000243,23.52142,71,27
1970-01-01 00:00:00.000000244,25.26717,71,28
1970-01-01 00:00:00.000000245,25.641397,71,29
1970-01-01 00:00:00.000000246,28.686346,71,30
1970-01-01 00:00:00.000000247,31.22781,71,31
1970-01-01 00:00:00.000000248,36.689808,71,32
1970-01-01 00:00:00.000000249,43.594723,71,33
1970-01-01 00:00:00.000000250,50.146603,71,34
1970-01-01 00:00:00.000000251,52.899296,71,35
1970-01-01 00:00:00.000000252,55.832367,71,36
1970-01-01 00:00:00.000000253,58.52141,71,37
1970-01-01 00:00:00.000000320,56.54707,72,10
1970-01-01 00:00:00.000000321,57.62056,72,11
1970-01-01 00:00:00.000000322,59.056725,72,12
1970-01-01 00:00:00.000000323,60.24884,72,13
1970-01-01 00:00:00.000000324,61.15452,72,14
1970-01-01 00:00:00.000000325,59.76659,72,15
