minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
72,72.0,controlled,147.50750190401087,20.866648210455903,33.636253575076104,205.0,130.0,4023.2735493164855,80.0,67.50750190401087,50.0,-29.133351789544097,50.0,-16.363746424923896,5500.0,-1476.7264506835145,332.99856104891694,129.99843925933894,147.50750190401087,4023.2735493164855,20.866648210455903,33.636253575076104,54.502901785532,203.0001217895781,4000.3040613292033,0.0,,,,
73,73.0,controlled,147.50757849666667,20.86665785494755,33.63626983253679,205.0,130.0,4023.273254614953,80.0,67.50757849666667,50.0,-29.13334214505245,50.0,-16.36373016746321,5500.0,-1476.7267453850468,332.99872495871546,129.99845248761008,147.50757849666667,4023.273254614953,20.86665785494755,33.63626983253679,54.502927687484345,203.00027247110532,4000.3038323672763,0.0,,,,
74,74.0,controlled,147.50765444012242,20.866667417696718,33.63628595220466,205.0,130.0,4023.2729624113435,80.0,67.50765444012242,50.0,-29.133332582303282,50.0,-16.36371404779534,5500.0,-1476.7270375886565,332.998887479262,129.99846560373263,147.50765444012242,4023.2729624113435,20.866667417696718,33.63628595220466,54.50295336990138,203.00042187552933,4000.3036053460396,0.0,,,,
75,75.0,controlled,147.50772973988248,20.8666768993964,33.63630193524794,205.0,130.0,4023.2726726844703,80.0,67.50772973988248,50.0,-29.1333231006036,50.0,-16.363698064752057,5500.0,-1476.7273273155297,332.9990486223349,129.99847860865793,147.50772973988248,4023.2726726844703,20.8666768993964,33.63630193524794,54.50297883464434,203.00057001367696,4000.303380249035,0.0,,,,
76,76.0,controlled,147.50780440140457,20.86668630073372,33.63631778282492,205.0,130.0,4023.272385413337,80.0,67.50780440140457,50.0,-29.13331369926628,50.0,-16.363682217175082,5500.0,-1476.727614586663,332.99920839961254,129.99849150332915,147.50780440140457,4023.272385413337,20.86668630073372,33.63631778282492,54.503004083558636,203.00071689628336,4000.3031570599483,0.0,,,,
77,77.0,controlled,147.50787843010002,20.866695622389962,33.63633349608406,205.0,130.0,4023.2721005771223,80.0,67.50787843010002,50.0,-29.133304377610038,50.0,-16.363666503915937,5500.0,-1476.7278994228777,332.9993668226741,129.9985042886816,147.50787843010002,4023.2721005771223,20.866695622389962,33.63633349608406,54.503029118474025,203.00086253399246,4000.3029357626046,0.0,,,,
78,78.0,controlled,147.50795183133428,20.866704865040646,33.636349076164116,205.0,130.0,4023.271818155179,80.0,67.50795183133428,50.0,-29.133295134959354,50.0,-16.363650923835884,5500.0,-1476.728181844821,332.99952390300047,129.99851696564244,147.50795183133428,4023.271818155179,20.866704865040646,33.636349076164116,54.50305394120476,203.00100693735797,4000.3027163409624,0.0,,,,
79,79.0,controlled,147.5080246104272,20.866714029355542,33.636364524194136,205.0,130.0,4023.271538127039,80.0,67.50802461042721,50.0,-29.133285970644458,50.0,-16.363635475805864,5500.0,-1476.728461872961,332.99967965197527,129.99852953513115,147.5080246104272,4023.271538127039,20.866714029355542,33.636364524194136,54.50307855354968,203.00115011684414,4000.3024987791196,0.0,,,,
80,80.0,controlled,147.50809677265374,20.866723115998752,33.63637984129363,205.0,130.0,4023.2712604724056,80.0,67.50809677265374,50.0,-29.133276884001248,50.0,-16.363620158706368,5500.0,-1476.7287395275944,332.99983408088576,129.9985419980593,147.50809677265374,4023.2712604724056,20.866723115998752,33.63637984129363,54.503102957292384,203.0012920828264,4000.302283061307,0.0,,,,
81,81.0,controlled,147.50816832324384,20.86673212562875,33.63639502857259,205.0,130.0,4023.2709851711566,80.0,67.50816832324384,50.0,-29.13326787437125,50.0,-16.363604971427407,5500.0,-1476.7290148288434,332.999987200923,129.99855435533073,147.50816832324384,4023.2709851711566,20.86673212562875,33.63639502857259,54.503127154201344,203.00143284559226,4000.3020691718934,0.0,,,,
82,82.0,controlled,147.50823926738323,20.866741058898416,33.63641008713161,205.0,130.0,4023.270712203337,80.0,67.50823926738323,50.0,-29.133258941101584,50.0,-16.36358991286839,5500.0,-1476.729287796663,333.0001390231836,129.9985666078416,147.50823926738323,4023.270712203337,20.866741058898416,33.63641008713161,54.50315114603002,203.0015724153419,4000.3018570953736,0.0,,,,
83,83.0,controlled,147.5083096102136,20.866749916455092,33.636425018061935,205.0,130.0,4023.2704415491617,80.0,67.50830961021359,50.0,-29.133250083544908,50.0,-16.363574981938065,5500.0,-1476.7295584508383,333.0002895586696,129.9985787564806,147.5083096102136,4023.2704415491617,20.866749916455092,33.636425018061935,54.50317493451703,203.00171080218897,4000.301646816377,0.0,,,,
84,84.0,controlled,147.50837935683302,20.866758698940632,33.636439822445546,205.0,130.0,4023.2701731890156,80.0,67.50837935683302,50.0,-29.133241301059368,50.0,-16.363560177554454,5500.0,-1476.7298268109844,333.00043881829015,129.99859080212866,147.50837935683302,4023.2701731890156,20.866758698940632,33.636439822445546,54.50319852138618,203.00184801616146,4000.3014383196646,0.0,,,,
85,85.0,controlled,147.50844851229624,20.866767406991453,33.63645450135527,205.0,130.0,4023.2699071034504,80.0,67.50844851229624,50.0,-29.133232593008547,50.0,-16.363545498644733,5500.0,-1476.7300928965496,333.0005868128615,129.99860274565935,147.50844851229624,4023.2699071034504,20.866767406991453,33.63645450135527,54.50322190834672,203.0019840672021,4000.3012315901265,0.0,,,,
